Teacher_ID,First_Name,Last_Name,Region,Age,Years_Experience,Educational_Attainment,Major_Specialization,Subject_Taught,Certification_Level,Fragility_Indicator
2026-STAR-0057,Rosa,Santos,Region IV-A,23,15,BS Science,Mathematics,Physics,Level 1,High
2026-STAR-0058,Maria,Santos,Region IV-A,50,16,Master of Arts in Ed,Mathematics,Mathematics,Level 3,Low
2026-STAR-0059,Eduardo,Alvarez,Region VII,39,17,Bachelor of Secondary Education,Biology,Biology,Level 2,Low
2026-STAR-0060,Roberto,Reyes,Region VI,30,9,Bachelor of Secondary Education,Biology,Biology,Level 3,Low
2026-STAR-0061,Elena,Rizal,Region VII,24,15,BS Science,Biology,Biology,Level 2,Low
2026-STAR-0062,Carmela,Santos,Region VIII,25,9,PhD STEM,Mathematics,Mathematics,Level 2,Low
2026-STAR-0063,Sofia,Rodriguez,Region XI,57,29,Master of Arts in Ed,Chemistry,Chemistry,Level 3,Low
2026-STAR-0064,Elena,Perez,Region VIII,34,3,Master of Arts in Ed,Physics,Biology,Level 1,High
2026-STAR-0065,Eduardo,Torres,BARMM,24,1,PhD STEM,Physics,Physics,Level 1,Low
2026-STAR-0066,Teresa,Alvarez,CAR,42,23,PhD STEM,General Science,General Science,Level 2,Low
2026-STAR-0067,Miguel,Gonzales,Region I,31,27,Bachelor of Secondary Education,General Science,General Science,Level 2,Low
2026-STAR-0068,Carlos,Santos,BARMM,37,0,Bachelor of Secondary Education,Biology,Chemistry,Level 1,High
2026-STAR-0069,Sofia,Santos,Region IV-B,51,27,PhD STEM,Biology,Biology,Level 3,Low
2026-STAR-0070,Carmen,Ramos,Region VII,34,9,Bachelor of Secondary Education,Physics,Physics,Level 3,Low
2026-STAR-0071,Maria,Cruz,Region IV-B,37,11,BS Science,Unrelated / Not Specified,Physics,Level 2,High
2026-STAR-0072,Elena,Ramos,Region XIII,37,32,Bachelor of Secondary Education,Biology,Biology,Level 3,Low
2026-STAR-0073,Maria,Rizal,Region III,47,5,Bachelor of Secondary Education,Biology,Biology,Level 2,Low
2026-STAR-0074,Miguel,Mendoza,Region VIII,31,0,PhD STEM,Biology,Biology,Level 1,Low
2026-STAR-0075,Carmen,Ramos,Region II,55,24,Master of Arts in Ed,General Science,General Science,Level 2,Low
2026-STAR-0076,Elena,Garcia,Region IV-A,53,15,PhD STEM,Chemistry,Chemistry,Level 3,Low
2026-STAR-0077,Luis,Navarro,Region XII,50,9,Master of Arts in Ed,Unrelated / Not Specified,Chemistry,Level 2,High
2026-STAR-0078,Pedro,Tolentino,Region III,47,12,Bachelor of Secondary Education,Chemistry,Chemistry,Level 3,Low
2026-STAR-0079,Ana,Lopez,Region XII,38,31,PhD STEM,Mathematics,Mathematics,Level 2,Low
2026-STAR-0080,Eduardo,Santos,Region IV-A,44,11,Master of Arts in Ed,Physics,Physics,Level 2,Low
2026-STAR-0081,Maria,Villanueva,Region III,50,13,Bachelor of Secondary Education,Physics,Physics,Level 2,Low
2026-STAR-0082,Pedro,Santos,Region I,24,9,Master of Arts in Ed,Chemistry,Chemistry,Level 2,Low
2026-STAR-0083,Ricardo,Santos,Region I,51,7,BS Science,General Science,Physics,Level 1,High
2026-STAR-0084,Sofia,Navarro,Region XII,33,18,Bachelor of Secondary Education,General Science,General Science,Level 3,Low
2026-STAR-0085,Ana,Gonzales,Region XII,31,4,Master of Arts in Ed,Unrelated / Not Specified,Chemistry,Level 3,High
2026-STAR-0086,Elena,Mendoza,Region III,43,26,PhD STEM,Unrelated / Not Specified,Chemistry,Level 3,High
2026-STAR-0087,Maria,Aquino,Region XII,50,8,Master of Arts in Ed,General Science,General Science,Level 2,Low
2026-STAR-0088,Ana,Torres,Region I,47,20,PhD STEM,Mathematics,Mathematics,Level 3,Low
2026-STAR-0089,Luz,Villanueva,CAR,48,3,Master of Arts in Ed,Chemistry,Chemistry,Level 2,Low
2026-STAR-0090,Pilar,Navarro,Region IV-A,39,23,Bachelor of Secondary Education,Biology,Chemistry,Level 1,High
2026-STAR-0091,Ramon,Mendoza,Region XIII,28,20,Master of Arts in Ed,Physics,Physics,Level 3,Low
2026-STAR-0092,Miguel,Alvarez,Region VII,39,20,PhD STEM,Chemistry,Chemistry,Level 2,Low
2026-STAR-0093,Luis,Dela Cruz,Region VII,44,30,PhD STEM,Unrelated / Not Specified,Mathematics,Level 2,High
2026-STAR-0094,Ramon,Perez,Region XI,27,12,BS Science,Chemistry,Chemistry,Level 3,Low
2026-STAR-0095,Elena,Gomez,Region VII,26,22,BS Science,Mathematics,Mathematics,Level 3,Low
2026-STAR-0096,Ramon,Tolentino,BARMM,35,8,PhD STEM,Chemistry,General Science,Level 1,High
2026-STAR-0097,Jose,Alvarez,Region XI,43,9,BS Science,General Science,General Science,Level 2,Low
2026-STAR-0098,Roberto,Rodriguez,Region VII,47,9,Master of Arts in Ed,Physics,Physics,Level 3,Low
2026-STAR-0099,Ramon,Lopez,Region IV-A,24,18,BS Science,Biology,Biology,Level 3,Low
2026-STAR-0100,Jose,Navarro,Region XI,36,15,Bachelor of Secondary Education,Chemistry,Chemistry,Level 2,Low
2026-STAR-0101,Carmen,Torres,Region IX,24,7,PhD STEM,Mathematics,General Science,Level 1,High
2026-STAR-0102,Beatriz,Bautista,Region III,50,22,Bachelor of Secondary Education,Biology,Biology,Level 2,Low
2026-STAR-0103,Luz,Dela Cruz,BARMM,42,0,Master of Arts in Ed,Physics,Physics,Level 1,Low
2026-STAR-0104,Beatriz,Navarro,Region II,52,29,Bachelor of Secondary Education,Chemistry,Physics,Level 1,High
2026-STAR-0105,Rosa,Rizal,Region X,35,20,Bachelor of Secondary Education,Mathematics,Mathematics,Level 3,Low
2026-STAR-0106,Eduardo,Villanueva,CAR,49,25,Bachelor of Secondary Education,Unrelated / Not Specified,Physics,Level 2,High
2026-STAR-0107,Roberto,Lopez,Region III,56,11,PhD STEM,General Science,Mathematics,Level 1,High
2026-STAR-0108,Eduardo,Garcia,BARMM,28,2,BS Science,Physics,General Science,Level 1,High
2026-STAR-0109,Beatriz,Lopez,Region XI,43,24,PhD STEM,Biology,Physics,Level 1,High
2026-STAR-0110,Juan,Garcia,Region XII,51,7,PhD STEM,Chemistry,General Science,Level 1,High
2026-STAR-0111,Miguel,Tolentino,Region VII,45,15,Bachelor of Secondary Education,Chemistry,Chemistry,Level 3,Low
2026-STAR-0112,Lourdes,Rizal,Region XII,29,24,PhD STEM,General Science,Physics,Level 1,High
2026-STAR-0113,Pedro,Garcia,Region IV-A,32,21,Bachelor of Secondary Education,General Science,Chemistry,Level 1,High
2026-STAR-0114,Pedro,Rizal,CAR,31,26,PhD STEM,Mathematics,Mathematics,Level 2,Low
2026-STAR-0115,Juan,Tolentino,Region VIII,32,4,BS Science,Chemistry,Biology,Level 1,High
2026-STAR-0116,Pedro,Lopez,NCR,40,31,PhD STEM,Biology,Biology,Level 2,Low
2026-STAR-0117,Roberto,Fernandez,Region XI,28,6,Master of Arts in Ed,Chemistry,Chemistry,Level 3,Low
2026-STAR-0118,Ana,Navarro,Region III,47,28,Master of Arts in Ed,General Science,General Science,Level 3,Low
2026-STAR-0119,Luis,Dela Cruz,BARMM,28,3,BS Science,Biology,Physics,Level 1,High
2026-STAR-0120,Pilar,Rodriguez,BARMM,33,2,Master of Arts in Ed,Chemistry,Chemistry,Level 1,Low
2026-STAR-0121,Lourdes,Torres,Region III,27,30,Bachelor of Secondary Education,Physics,Physics,Level 3,Low
2026-STAR-0122,Pilar,Villanueva,Region IV-A,40,4,Bachelor of Secondary Education,Unrelated / Not Specified,Physics,Level 1,High
2026-STAR-0123,Rosa,Fernandez,Region I,42,18,PhD STEM,Physics,Physics,Level 3,Low
2026-STAR-0124,Ramon,Garcia,Region II,47,17,Bachelor of Secondary Education,Biology,Biology,Level 3,Low
2026-STAR-0125,Ramon,Rodriguez,Region XIII,32,23,Bachelor of Secondary Education,Unrelated / Not Specified,Physics,Level 3,High
2026-STAR-0126,Teresa,Cruz,Region X,55,17,PhD STEM,Unrelated / Not Specified,Biology,Level 3,High
2026-STAR-0127,Luis,Tolentino,Region II,51,20,Bachelor of Secondary Education,General Science,Chemistry,Level 1,High
2026-STAR-0128,Carmen,Garcia,Region IV-B,52,20,PhD STEM,Unrelated / Not Specified,Chemistry,Level 2,High
2026-STAR-0129,Carlos,Rodriguez,Region V,42,6,Master of Arts in Ed,Mathematics,Mathematics,Level 3,Low
2026-STAR-0130,Ramon,Fernandez,Region XII,34,26,Master of Arts in Ed,Biology,Biology,Level 3,Low
2026-STAR-0131,Manuel,Ramos,CAR,57,12,BS Science,Mathematics,Mathematics,Level 3,Low
2026-STAR-0132,Eduardo,Torres,Region III,26,22,Bachelor of Secondary Education,Biology,Biology,Level 2,Low
2026-STAR-0133,Pilar,Bautista,Region V,27,6,PhD STEM,Physics,Physics,Level 2,Low
2026-STAR-0134,Beatriz,Rodriguez,Region IX,44,21,PhD STEM,Unrelated / Not Specified,Chemistry,Level 2,High
2026-STAR-0135,Teresa,Lopez,Region VI,40,24,PhD STEM,Chemistry,Chemistry,Level 3,Low
2026-STAR-0136,Elena,Gomez,Region XII,37,24,Bachelor of Secondary Education,Physics,Physics,Level 2,Low
2026-STAR-0137,Jose,Perez,Region XI,53,12,Master of Arts in Ed,Mathematics,Mathematics,Level 3,Low
2026-STAR-0138,Rosa,Santos,NCR,28,26,PhD STEM,Unrelated / Not Specified,Mathematics,Level 1,High
2026-STAR-0139,Sofia,Bautista,Region IV-B,49,8,PhD STEM,General Science,Chemistry,Level 1,High
2026-STAR-0140,Ana,Alvarez,BARMM,29,9,BS Science,Physics,Physics,Level 3,Low
2026-STAR-0141,Ana,Navarro,Region V,50,10,PhD STEM,Chemistry,General Science,Level 1,High
2026-STAR-0142,Carlos,Villanueva,NCR,24,17,BS Science,Physics,Chemistry,Level 1,High
2026-STAR-0143,Eduardo,Ramos,Region II,44,11,Master of Arts in Ed,Unrelated / Not Specified,Chemistry,Level 2,High
2026-STAR-0144,Carmela,Alvarez,CAR,54,28,BS Science,Biology,Biology,Level 2,Low
2026-STAR-0145,Rosa,Aquino,Region I,44,31,PhD STEM,Biology,General Science,Level 1,High
2026-STAR-0146,Beatriz,Bautista,BARMM,30,7,BS Science,Biology,Physics,Level 1,High
2026-STAR-0147,Lourdes,Navarro,Region II,30,30,Master of Arts in Ed,Physics,Physics,Level 3,Low
2026-STAR-0148,Rosa,Gonzales,Region V,40,15,Bachelor of Secondary Education,Physics,Physics,Level 3,Low
2026-STAR-0149,Pilar,Perez,Region IV-A,35,26,Bachelor of Secondary Education,Chemistry,Chemistry,Level 2,Low
2026-STAR-0150,Pilar,Tolentino,Region IX,43,18,Master of Arts in Ed,Chemistry,Chemistry,Level 3,Low
2026-STAR-0151,Luz,Ramos,Region XI,25,19,Master of Arts in Ed,Unrelated / Not Specified,Biology,Level 3,High
2026-STAR-0152,Ricardo,Villanueva,Region II,38,21,BS Science,Biology,Biology,Level 3,Low
2026-STAR-0153,Jose,Torres,CAR,27,3,PhD STEM,General Science,General Science,Level 2,Low
2026-STAR-0154,Juan,Torres,BARMM,35,6,PhD STEM,Chemistry,Chemistry,Level 3,Low
2026-STAR-0155,Antonio,Gonzales,Region IV-A,40,20,BS Science,Unrelated / Not Specified,Chemistry,Level 2,High
2026-STAR-0156,Jose,Cruz,Region VI,34,7,Master of Arts in Ed,Physics,Physics,Level 2,Low
2026-STAR-0157,Ramon,Rodriguez,Region III,52,31,BS Science,General Science,General Science,Level 3,Low
2026-STAR-0158,Beatriz,Aquino,Region XII,50,27,Master of Arts in Ed,Physics,Physics,Level 2,Low
2026-STAR-0159,Eduardo,Gonzales,Region VIII,20,5,BS Science,Biology,Biology,Level 2,Low
2026-STAR-0160,Lourdes,Navarro,Region IV-B,26,28,Bachelor of Secondary Education,Unrelated / Not Specified,Physics,Level 3,High
2026-STAR-0161,Luz,Rodriguez,Region V,38,3,BS Science,General Science,General Science,Level 3,Low
2026-STAR-0162,Antonio,Villanueva,Region III,55,17,BS Science,General Science,General Science,Level 3,Low
2026-STAR-0163,Pilar,Santos,Region VIII,28,0,BS Science,Unrelated / Not Specified,Mathematics,Level 1,High
2026-STAR-0164,Luz,Rodriguez,NCR,51,12,PhD STEM,Mathematics,Mathematics,Level 2,Low
2026-STAR-0165,Miguel,Santos,Region VI,32,29,PhD STEM,General Science,Physics,Level 1,High
2026-STAR-0166,Teresa,Cruz,Region V,32,8,BS Science,General Science,General Science,Level 2,Low
2026-STAR-0167,Carmen,Lopez,Region I,36,13,BS Science,General Science,General Science,Level 2,Low
2026-STAR-0168,Miguel,Tolentino,Region IV-A,43,13,BS Science,Biology,Biology,Level 2,Low
2026-STAR-0169,Juan,Dela Cruz,Region IX,33,21,Bachelor of Secondary Education,Chemistry,Chemistry,Level 3,Low
2026-STAR-0170,Manuel,Garcia,Region XI,41,14,BS Science,Biology,Biology,Level 3,Low
2026-STAR-0171,Ramon,Navarro,Region VI,53,29,PhD STEM,Unrelated / Not Specified,General Science,Level 2,High
2026-STAR-0172,Carmen,Tolentino,Region X,29,14,Master of Arts in Ed,Physics,Physics,Level 2,Low
2026-STAR-0173,Maria,Fernandez,Region IV-A,47,30,Master of Arts in Ed,Biology,Biology,Level 3,Low
2026-STAR-0174,Maria,Perez,Region III,55,23,Bachelor of Secondary Education,Unrelated / Not Specified,Biology,Level 1,High
2026-STAR-0175,Eduardo,Gomez,Region I,48,25,Master of Arts in Ed,Chemistry,Chemistry,Level 2,Low
2026-STAR-0176,Eduardo,Villanueva,Region IV-A,54,26,Master of Arts in Ed,Physics,Mathematics,Level 1,High
2026-STAR-0177,Pilar,Gomez,CAR,45,26,BS Science,Physics,Physics,Level 3,Low
2026-STAR-0178,Teresa,Reyes,Region VI,40,20,Master of Arts in Ed,Physics,Physics,Level 2,Low
2026-STAR-0179,Teresa,Bautista,Region IV-B,53,12,BS Science,Mathematics,Mathematics,Level 2,Low
2026-STAR-0180,Teresa,Cruz,BARMM,36,8,Bachelor of Secondary Education,Biology,Chemistry,Level 1,High
2026-STAR-0181,Luis,Garcia,Region VI,29,25,Master of Arts in Ed,Biology,Biology,Level 3,Low
2026-STAR-0182,Teresa,Alvarez,Region XI,23,14,Bachelor of Secondary Education,Biology,General Science,Level 1,High
2026-STAR-0183,Luis,Rizal,Region XII,55,9,Master of Arts in Ed,Biology,Chemistry,Level 1,High
2026-STAR-0184,Elena,Reyes,Region XI,42,22,Bachelor of Secondary Education,Physics,Physics,Level 2,Low
2026-STAR-0185,Sofia,Dela Cruz,Region II,56,25,Master of Arts in Ed,General Science,General Science,Level 3,Low
2026-STAR-0186,Juan,Perez,Region IV-B,50,12,Master of Arts in Ed,Mathematics,Mathematics,Level 2,Low
2026-STAR-0187,Lourdes,Dela Cruz,Region X,41,31,Bachelor of Secondary Education,Physics,Physics,Level 3,Low
2026-STAR-0188,Carlos,Tolentino,Region XII,26,14,PhD STEM,Chemistry,Chemistry,Level 3,Low
2026-STAR-0189,Ricardo,Cruz,Region IX,42,11,Bachelor of Secondary Education,Chemistry,Chemistry,Level 2,Low
2026-STAR-0190,Ana,Cruz,CAR,41,10,Bachelor of Secondary Education,Physics,General Science,Level 1,High
2026-STAR-0191,Luz,Perez,CAR,41,16,BS Science,Physics,Physics,Level 3,Low
2026-STAR-0192,Ana,Torres,Region XII,40,22,PhD STEM,Unrelated / Not Specified,Physics,Level 2,High
2026-STAR-0193,Elena,Tolentino,Region XII,49,13,Bachelor of Secondary Education,Unrelated / Not Specified,Physics,Level 1,High
2026-STAR-0194,Roberto,Tolentino,CAR,43,12,Bachelor of Secondary Education,Unrelated / Not Specified,Chemistry,Level 1,High
2026-STAR-0195,Maria,Navarro,Region XII,38,12,PhD STEM,Chemistry,General Science,Level 1,High
2026-STAR-0196,Ramon,Alvarez,Region VII,26,12,Bachelor of Secondary Education,Physics,Physics,Level 3,Low
2026-STAR-0197,Jose,Garcia,Region XII,55,19,Bachelor of Secondary Education,Biology,Biology,Level 2,Low
2026-STAR-0198,Ramon,Lopez,Region X,49,11,PhD STEM,Biology,Biology,Level 3,Low
2026-STAR-0199,Lourdes,Alvarez,Region IX,27,9,BS Science,Physics,Physics,Level 3,Low
2026-STAR-0200,Ana,Santos,Region IV-B,42,9,Master of Arts in Ed,Mathematics,Mathematics,Level 2,Low
2026-STAR-0201,Roberto,Gomez,Region XIII,46,20,Master of Arts in Ed,Unrelated / Not Specified,Mathematics,Level 2,High
2026-STAR-0202,Teresa,Gonzales,Region IV-A,31,7,Bachelor of Secondary Education,Physics,Physics,Level 3,Low
2026-STAR-0203,Carmela,Tolentino,Region XI,33,6,Master of Arts in Ed,General Science,General Science,Level 2,Low
2026-STAR-0204,Manuel,Garcia,Region VII,34,15,Bachelor of Secondary Education,Unrelated / Not Specified,Chemistry,Level 2,High
2026-STAR-0205,Ana,Fernandez,Region V,33,13,Master of Arts in Ed,Unrelated / Not Specified,General Science,Level 1,High
2026-STAR-0206,Luis,Rizal,BARMM,31,6,Master of Arts in Ed,Unrelated / Not Specified,Mathematics,Level 1,High
2026-STAR-0207,Ricardo,Gonzales,Region VII,46,8,Bachelor of Secondary Education,Chemistry,Chemistry,Level 3,Low
2026-STAR-0208,Antonio,Rodriguez,Region V,49,6,PhD STEM,Mathematics,Mathematics,Level 2,Low
2026-STAR-0209,Roberto,Rizal,Region II,29,8,BS Science,Physics,Physics,Level 3,Low
2026-STAR-0210,Ricardo,Santos,CAR,49,14,Master of Arts in Ed,Biology,General Science,Level 1,High
2026-STAR-0211,Juan,Bautista,Region X,32,15,BS Science,Chemistry,Chemistry,Level 3,Low
2026-STAR-0212,Manuel,Reyes,Region VIII,35,7,BS Science,Unrelated / Not Specified,Mathematics,Level 1,High
2026-STAR-0213,Juan,Bautista,Region XI,41,6,Master of Arts in Ed,Mathematics,Mathematics,Level 3,Low
2026-STAR-0214,Ricardo,Perez,Region IV-B,29,9,PhD STEM,Physics,Physics,Level 2,Low
2026-STAR-0215,Sofia,Bautista,Region X,49,12,BS Science,Unrelated / Not Specified,Mathematics,Level 2,High
2026-STAR-0216,Carlos,Bautista,Region IX,37,10,PhD STEM,General Science,Biology,Level 1,High
2026-STAR-0217,Pedro,Bautista,NCR,55,22,PhD STEM,General Science,General Science,Level 3,Low
2026-STAR-0218,Lourdes,Cruz,Region III,31,19,BS Science,General Science,General Science,Level 2,Low
2026-STAR-0219,Carmen,Santos,Region IX,36,20,PhD STEM,General Science,Mathematics,Level 1,High
2026-STAR-0220,Teresa,Reyes,Region I,24,29,BS Science,Chemistry,Chemistry,Level 3,Low
2026-STAR-0221,Luis,Garcia,Region XI,42,29,Master of Arts in Ed,Physics,Chemistry,Level 1,High
2026-STAR-0222,Carmela,Lopez,NCR,48,24,BS Science,General Science,General Science,Level 3,Low
2026-STAR-0223,Antonio,Reyes,Region VIII,35,4,Bachelor of Secondary Education,Unrelated / Not Specified,General Science,Level 3,High
2026-STAR-0224,Miguel,Santos,NCR,41,25,Bachelor of Secondary Education,Physics,Physics,Level 3,Low
2026-STAR-0225,Rosa,Ramos,Region VIII,41,0,Master of Arts in Ed,Chemistry,Mathematics,Level 1,High
2026-STAR-0226,Pilar,Reyes,Region XI,27,5,PhD STEM,Mathematics,Mathematics,Level 3,Low
2026-STAR-0227,Carmen,Garcia,NCR,40,14,Bachelor of Secondary Education,Unrelated / Not Specified,Physics,Level 3,High
2026-STAR-0228,Juan,Fernandez,Region XII,38,22,Master of Arts in Ed,Physics,Physics,Level 3,Low
2026-STAR-0229,Luis,Reyes,Region II,48,17,PhD STEM,Biology,Biology,Level 3,Low
2026-STAR-0230,Maria,Lopez,Region I,23,11,PhD STEM,Unrelated / Not Specified,Physics,Level 2,High
2026-STAR-0231,Ana,Gomez,Region IV-B,36,11,BS Science,Biology,Biology,Level 3,Low
2026-STAR-0232,Roberto,Rodriguez,Region IV-B,27,3,BS Science,Unrelated / Not Specified,Mathematics,Level 2,High
2026-STAR-0233,Rosa,Dela Cruz,Region IV-A,54,14,PhD STEM,Mathematics,Mathematics,Level 3,Low
2026-STAR-0234,Elena,Alvarez,Region VIII,38,9,Master of Arts in Ed,Physics,General Science,Level 1,High
2026-STAR-0235,Pedro,Gonzales,Region IX,29,10,Master of Arts in Ed,Chemistry,Chemistry,Level 3,Low
2026-STAR-0236,Carmela,Tolentino,Region I,46,11,PhD STEM,Chemistry,Chemistry,Level 2,Low
2026-STAR-0237,Ramon,Perez,Region II,34,19,BS Science,Mathematics,Mathematics,Level 3,Low
2026-STAR-0238,Carmen,Perez,Region VI,40,16,BS Science,Mathematics,General Science,Level 1,High
2026-STAR-0239,Antonio,Bautista,NCR,29,21,BS Science,Physics,Physics,Level 3,Low
2026-STAR-0240,Carmela,Tolentino,Region IX,42,13,BS Science,Chemistry,Chemistry,Level 3,Low
2026-STAR-0241,Eduardo,Fernandez,Region X,33,15,Bachelor of Secondary Education,Physics,Physics,Level 3,Low
2026-STAR-0242,Luz,Perez,BARMM,25,4,BS Science,General Science,General Science,Level 3,Low
2026-STAR-0243,Jose,Gonzales,Region V,54,6,BS Science,Biology,Biology,Level 3,Low
2026-STAR-0244,Miguel,Perez,Region IX,31,23,Bachelor of Secondary Education,Physics,Physics,Level 3,Low
